Id,Clinic_Name,Address
1,Downtown Health,123 Health Ave
2,Riverside Clinic,456 River Rd
3,Wellness Center,789 Wellness Blvd
4,City Medical Group,101 Main St
5,Lakeside Family Clinic,202 Lakeview Dr
6,Green Valley Clinic,303 Greenway Blvd
7,Health Plus Clinic,404 Health St
8,Eastside Medical Center,505 East St
9,Northpoint Healthcare,606 North Ave
10,Sunnydale Clinic,707 Sunny St
11,Family Health Center,808 Family Ave
12,Central City Clinic,909 Central Blvd
13,New Horizons Clinic,1010 Horizon Dr
14,Clearview Medical Center,1111 Clearview St
15,Healthy Living Clinic,1212 Wellness Way
16,Starlight Health,1313 Star Rd
17,Silver Oak Clinic,1414 Silver St
18,Pine Grove Medical Center,1515 Pine Rd
19,Summit Healthcare,1616 Summit Ave
20,Harmony Health Clinic,1717 Harmony St
21,Lighthouse Clinic,1818 Lighthouse Dr
22,Heritage Medical Group,1919 Heritage Way
23,Valley View Clinic,2020 Valley View Rd
24,Evergreen Health Center,2121 Evergreen St
25,Springfield Medical Clinic,2222 Springfield Rd
